week_start,week_end,week_number,transaction_count,unique_users,total_volume,avg_bet_amount,mon_transactions,jerry_transactions,mon_volume,jerry_volume,total_cards,avg_cards
2024-01-29,2024-02-04,1,0,0,,,0,0,0,0,,
2024-02-05,2024-02-11,2,0,0,,,0,0,0,0,,
2024-02-12,2024-02-18,3,0,0,,,0,0,0,0,,
2024-02-19,2024-02-25,4,0,0,,,0,0,0,0,,
2024-02-26,2024-03-03,5,0,0,,,0,0,0,0,,
2024-03-04,2024-03-10,6,0,0,,,0,0,0,0,,
2024-03-11,2024-03-17,7,0,0,,,0,0,0,0,,
2024-03-18,2024-03-24,8,0,0,,,0,0,0,0,,
2024-03-25,2024-03-31,9,0,0,,,0,0,0,0,,
2024-04-01,2024-04-07,10,0,0,,,0,0,0,0,,
2024-04-08,2024-04-14,11,0,0,,,0,0,0,0,,
2024-04-15,2024-04-21,12,0,0,,,0,0,0,0,,
2024-04-22,2024-04-28,13,0,0,,,0,0,0,0,,
2024-04-29,2024-05-05,14,0,0,,,0,0,0,0,,
2024-05-06,2024-05-12,15,0,0,,,0,0,0,0,,
2024-05-13,2024-05-19,16,0,0,,,0,0,0,0,,
2024-05-20,2024-05-26,17,0,0,,,0,0,0,0,,
2024-05-27,2024-06-02,18,0,0,,,0,0,0,0,,
2024-06-03,2024-06-09,19,0,0,,,0,0,0,0,,
2024-06-10,2024-06-16,20,0,0,,,0,0,0,0,,
2024-06-17,2024-06-23,21,0,0,,,0,0,0,0,,
2024-06-24,2024-06-30,22,0,0,,,0,0,0,0,,
2024-07-01,2024-07-07,23,0,0,,,0,0,0,0,,
2024-07-08,2024-07-14,24,0,0,,,0,0,0,0,,
2024-07-15,2024-07-21,25,0,0,,,0,0,0,0,,
2024-07-22,2024-07-28,26,0,0,,,0,0,0,0,,
2024-07-29,2024-08-04,27,0,0,,,0,0,0,0,,
2024-08-05,2024-08-11,28,0,0,,,0,0,0,0,,
2024-08-12,2024-08-18,29,0,0,,,0,0,0,0,,
2024-08-19,2024-08-25,30,0,0,,,0,0,0,0,,
2024-08-26,2024-09-01,31,0,0,,,0,0,0,0,,
2024-09-02,2024-09-08,32,0,0,,,0,0,0,0,,
2024-09-09,2024-09-15,33,0,0,,,0,0,0,0,,
2024-09-16,2024-09-22,34,0,0,,,0,0,0,0,,
2024-09-23,2024-09-29,35,0,0,,,0,0,0,0,,
2024-09-30,2024-10-06,36,0,0,,,0,0,0,0,,
2024-10-07,2024-10-13,37,0,0,,,0,0,0,0,,
2024-10-14,2024-10-20,38,0,0,,,0,0,0,0,,
2024-10-21,2024-10-27,39,0,0,,,0,0,0,0,,
2024-10-28,2024-11-03,40,0,0,,,0,0,0,0,,
2024-11-04,2024-11-10,41,0,0,,,0,0,0,0,,
2024-11-11,2024-11-17,42,0,0,,,0,0,0,0,,
2024-11-18,2024-11-24,43,0,0,,,0,0,0,0,,
2024-11-25,2024-12-01,44,0,0,,,0,0,0,0,,
2024-12-02,2024-12-08,45,0,0,,,0,0,0,0,,
2024-12-09,2024-12-15,46,0,0,,,0,0,0,0,,
2024-12-16,2024-12-22,47,0,0,,,0,0,0,0,,
2024-12-23,2024-12-29,48,0,0,,,0,0,0,0,,
2024-12-30,2025-01-05,49,0,0,,,0,0,0,0,,
2025-01-06,2025-01-12,50,0,0,,,0,0,0,0,,
2025-01-13,2025-01-19,51,0,0,,,0,0,0,0,,
2025-01-20,2025-01-26,52,0,0,,,0,0,0,0,,
2025-01-27,2025-02-02,53,0,0,,,0,0,0,0,,
2025-02-03,2025-02-09,54,16,3,6.2,0.3875,16,0,6.2,0,35,2.1875
2025-02-10,2025-02-16,55,0,0,,,0,0,0,0,,
2025-02-17,2025-02-23,56,15669,6243,6051.9,0.38623396515412595,15669,0,6051.9,0,57398,3.663156551151956
2025-02-24,2025-03-02,57,33851,16069,11700.8,0.34565596289622164,33851,0,11700.8,0,107205,3.166967002451922
2025-03-03,2025-03-09,58,18421,8282,7737.6,0.4200423429781228,18421,0,7737.6,0,64110,3.48026708647739
2025-03-10,2025-03-16,59,27058,13142,8944.6,0.3305713652154631,27058,0,8944.6,0,90297,3.337164609357676
2025-03-17,2025-03-23,60,22890,12488,6444.900000000001,0.28155963302752296,22890,0,6444.900000000001,0,67653,2.955570117955439
2025-03-24,2025-03-30,61,27088,9657,6163.8,0.22754725339633786,27088,0,6163.8,0,119678,4.418118724158299
2025-03-31,2025-04-06,62,20240,10938,6639.6,0.3280434782608696,20240,0,6639.6,0,65778,3.249901185770751
2025-04-07,2025-04-13,63,21668,12562,7971.7,0.36790197526306073,21668,0,7971.7,0,71448,3.297397083256415
2025-04-14,2025-04-20,64,21386,11995,8077.8,0.3777143925932853,21386,0,8077.8,0,68439,3.200177686336856
2025-04-21,2025-04-27,65,51591,26447,15520.9,0.30084510864298036,51591,0,15520.9,0,158883,3.079665057858929
2025-04-28,2025-05-04,66,99336,42160,20123.511300000002,0.20258024583232667,99336,0,20123.511300000002,0,285791,2.8770133687686235
2025-05-05,2025-05-11,67,90070,36382,18269.464567,0.2028362891861885,90070,0,18269.464567,0,258098,2.865526812479183
2025-05-12,2025-05-18,68,72576,31774,16926.487875067545,0.23322431485708148,72576,0,16926.487875067545,0,202791,2.7941881613756614
2025-05-19,2025-05-25,69,91429,42656,18451.0,0.20180686653031313,91429,0,18451.0,0,259862,2.8422273020595217
2025-05-26,2025-06-01,70,112067,42753,24696.100000000002,0.22036906493436964,112067,0,24696.100000000002,0,336270,3.0006157031061775
2025-06-02,2025-06-08,71,157382,44059,49466.8,0.314310403985208,141339,16043,29666.9,19799.9,527354,3.350789798070936
2025-06-09,2025-06-15,72,192883,74775,45778.54945,0.23733843547642872,191694,1189,36428.149450000004,9350.4,555614,2.880575271019219
2025-06-16,2025-06-22,73,239095,75398,60611.97273,0.2535058145507016,237417,1678,49086.12273,11525.85,604618,2.5287772642673416
2025-06-23,2025-06-29,74,264014,63310,53573.42760357549,0.20291888916336062,263062,952,46662.627603575485,6910.8,608443,2.304586120433007
2025-06-30,2025-07-06,75,319658,71512,54749.076631863936,0.17127391346959542,318596,1062,48289.77663186393,6459.3,721780,2.25797571154171
2025-07-07,2025-07-13,76,164892,47816,30270.05,0.18357500667103316,164030,862,25945.7,4324.35,370988,2.249884773063581
2025-07-14,2025-07-20,77,0,0,,,0,0,0,0,,
